transaction_id,customer_id,merchant_id,amount,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description
1.0,1082.0,2027.0,5758.59,0,MasterCard,City-30,Gas Station,43.0,Purchase at Merchant-2027
2.0,1015.0,2053.0,1901.56,1,Visa,City-47,Online Shopping,61.0,Purchase at Merchant-2053
4384.44,1049.9,2050.69,4321.3716,1,MasterCard,City-6,Gas Station,37.57,Purchase at Merchant-2035
4384.44,1049.9,2050.69,4321.3716,1,Discover,City-6,Travel,37.57,Purchase at Merchant-2037
5.0,1036.0,2083.0,1890.1,1,MasterCard,City-34,Retail,36.0,Purchase at Merchant-2083
6.0,1032.0,2021.0,8487.68,1,American Express,City-1,Gas Station,43.0,Purchase at Merchant-2021
4384.44,1049.9,2050.69,4321.3716,1,Visa,City-7,Online Shopping,37.57,Purchase at Merchant-2033
8.0,1018.0,2088.0,2284.88,0,American Express,City-46,Travel,40.0,Purchase at Merchant-2088
9.0,1095.0,2077.0,3952.73,0,American Express,City-45,Groceries,43.0,Purchase at Merchant-2077
10.0,1014.0,2031.0,8362.04,0,Visa,City-25,Restaurant,55.0,Purchase at Merchant-2031
4384.44,1049.9,2050.69,4321.3716,1,MasterCard,City-29,Retail,37.57,Purchase at Merchant-2052
12.0,1095.0,2031.0,4128.7,0,Discover,City-45,Travel,27.0,Purchase at Merchant-2031
13.0,1070.0,2015.0,6409.54,1,American Express,City-30,Restaurant,46.0,Purchase at Merchant-2015
14.0,1012.0,2020.0,2190.4,1,Visa,City-19,Gas Station,34.0,Purchase at Merchant-2020
15.0,1076.0,2025.0,2516.99,1,MasterCard,City-13,Retail,41.0,Purchase at Merchant-2025
4384.44,1049.9,2050.69,4321.3716,1,Discover,City-25,Retail,37.57,Purchase at Merchant-2004
17.0,1005.0,2032.0,2415.3,1,Visa,City-4,Online Shopping,41.0,Purchase at Merchant-2032
4384.44,1049.9,2050.69,4321.3716,1,Visa,City-35,Travel,37.57,Purchase at Merchant-2060
20.0,1028.0,2063.0,6838.47,1,Discover,City-40,Groceries,44.0,Purchase at Merchant-2063
21.0,1030.0,2072.0,2821.68,1,MasterCard,City-1,Groceries,57.0,Purchase at Merchant-2072
22.0,1065.0,2056.0,1621.03,0,MasterCard,City-38,Retail,40.0,Purchase at Merchant-2056
23.0,1078.0,2055.0,625.58,0,Visa,City-34,Online Shopping,60.0,Purchase at Merchant-2055
4384.44,1049.9,2050.69,4321.3716,1,Discover,City-22,Retail,37.57,Purchase at Merchant-2083
4384.44,1049.9,2050.69,4321.3716,0,Visa,City-39,Groceries,37.57,Purchase at Merchant-2005
26.0,1026.0,2026.0,613.44,1,MasterCard,City-10,Travel,42.0,Purchase at Merchant-2026
4384.44,1049.9,2050.69,4321.3716,0,Visa,City-29,Restaurant,37.57,Purchase at Merchant-2021
28.0,1084.0,2035.0,4306.65,1,American Express,City-7,Groceries,45.0,Purchase at Merchant-2035
4384.44,1049.9,2050.69,4321.3716,1,American Express,City-17,Groceries,37.57,Purchase at Merchant-2018
4384.44,1049.9,2050.69,4321.3716,0,MasterCard,City-15,Online Shopping,37.57,Purchase at Merchant-2004
31.0,1054.0,2034.0,4464.86,1,MasterCard,City-44,Gas Station,24.0,Purchase at Merchant-2034
4384.44,1049.9,2050.69,4321.3716,1,American Express,City-27,Online Shopping,37.57,Purchase at Merchant-2036
33.0,1058.0,2085.0,6748.27,1,Discover,City-37,Retail,35.0,Purchase at Merchant-2085
34.0,1076.0,2071.0,3190.8,0,Visa,City-50,Gas Station,32.0,Purchase at Merchant-2071
35.0,1036.0,2023.0,7716.15,1,MasterCard,City-18,Online Shopping,58.0,Purchase at Merchant-2023
4384.44,1049.9,2050.69,4321.3716,0,MasterCard,City-17,Restaurant,37.57,Purchase at Merchant-2006
4384.44,1049.9,2050.69,4321.3716,1,Visa,City-39,Travel,37.57,Purchase at Merchant-2093
4384.44,1049.9,2050.69,4321.3716,0,American Express,City-14,Groceries,37.57,Purchase at Merchant-2063
4384.44,1049.9,2050.69,4321.3716,0,Discover,City-41,Online Shopping,37.57,Purchase at Merchant-2003
41.0,1044.0,2008.0,7274.22,0,American Express,City-20,Online Shopping,27.0,Purchase at Merchant-2008
4384.44,1049.9,2050.69,4321.3716,1,Visa,City-50,Restaurant,37.57,Purchase at Merchant-2011
43.0,1020.0,2041.0,3587.54,1,Discover,City-31,Gas Station,39.0,Purchase at Merchant-2041
44.0,1028.0,2078.0,8111.54,0,American Express,City-25,Online Shopping,53.0,Purchase at Merchant-2078
4384.44,1049.9,2050.69,4321.3716,0,Discover,City-45,Groceries,37.57,Purchase at Merchant-2039
46.0,1044.0,2009.0,3009.47,0,Visa,City-34,Restaurant,29.0,Purchase at Merchant-2009
47.0,1014.0,2053.0,4895.98,1,MasterCard,City-35,Groceries,38.0,Purchase at Merchant-2053
48.0,1012.0,2047.0,5463.71,1,MasterCard,City-38,Online Shopping,43.0,Purchase at Merchant-2047
49.0,1049.0,2086.0,7452.24,0,MasterCard,City-14,Retail,28.0,Purchase at Merchant-2086
4384.44,1049.9,2050.69,4321.3716,1,Visa,City-46,Online Shopping,37.57,Purchase at Merchant-2085
51.0,1046.0,2012.0,1713.82,0,Visa,City-33,Groceries,56.0,Purchase at Merchant-2012
52.0,1045.0,2051.0,6911.74,1,Discover,City-27,Retail,46.0,Purchase at Merchant-2051
53.0,1078.0,2093.0,4103.23,0,Visa,City-6,Travel,35.0,Purchase at Merchant-2093
54.0,1034.0,2018.0,8800.95,0,American Express,City-26,Retail,48.0,Purchase at Merchant-2018
55.0,1006.0,2031.0,3250.43,0,Visa,City-41,Restaurant,45.0,Purchase at Merchant-2031
4384.44,1049.9,2050.69,4321.3716,1,Discover,City-48,Groceries,37.57,Purchase at Merchant-2015
57.0,1059.0,2074.0,9452.68,1,American Express,City-6,Groceries,37.0,Purchase at Merchant-2074
4384.44,1049.9,2050.69,4321.3716,0,Visa,City-45,Groceries,37.57,Purchase at Merchant-2095
59.0,1016.0,2065.0,8688.14,1,MasterCard,City-34,Retail,37.0,Purchase at Merchant-2065
60.0,1049.0,2016.0,4649.28,0,American Express,City-43,Retail,21.0,Purchase at Merchant-2016
61.0,1011.0,2067.0,1535.32,1,Visa,City-31,Groceries,37.0,Purchase at Merchant-2067
62.0,1071.0,2086.0,7381.21,0,MasterCard,City-30,Groceries,27.0,Purchase at Merchant-2086
63.0,1038.0,2075.0,3861.79,0,Visa,City-25,Restaurant,35.0,Purchase at Merchant-2075
65.0,1080.0,2068.0,8734.88,1,Discover,City-47,Gas Station,36.0,Purchase at Merchant-2068
66.0,1047.0,2033.0,7884.77,1,Discover,City-21,Online Shopping,27.0,Purchase at Merchant-2033
67.0,1074.0,2064.0,3820.76,0,Discover,City-34,Restaurant,62.0,Purchase at Merchant-2064
4384.44,1049.9,2050.69,4321.3716,0,American Express,City-44,Online Shopping,37.57,Purchase at Merchant-2012
69.0,1091.0,2031.0,1502.35,0,Discover,City-4,Restaurant,44.0,Purchase at Merchant-2031
70.0,1009.0,2077.0,3663.44,0,American Express,City-35,Retail,38.0,Purchase at Merchant-2077
71.0,1006.0,2016.0,4349.47,1,American Express,City-19,Groceries,42.0,Purchase at Merchant-2016
4384.44,1049.9,2050.69,4321.3716,0,American Express,City-13,Groceries,37.57,Purchase at Merchant-2099
73.0,1030.0,2041.0,9054.57,0,Visa,City-6,Retail,45.0,Purchase at Merchant-2041
4384.44,1049.9,2050.69,4321.3716,0,American Express,City-40,Retail,37.57,Purchase at Merchant-2043
75.0,1038.0,2075.0,9460.97,0,Visa,City-27,Restaurant,43.0,Purchase at Merchant-2075
4384.44,1049.9,2050.69,4321.3716,0,American Express,City-41,Retail,37.57,Purchase at Merchant-2095
77.0,1030.0,2050.0,173.73,0,American Express,City-21,Gas Station,34.0,Purchase at Merchant-2050
78.0,1013.0,2096.0,4728.16,0,Visa,City-11,Online Shopping,43.0,Purchase at Merchant-2096
79.0,1049.0,2096.0,2716.19,0,American Express,City-47,Gas Station,37.0,Purchase at Merchant-2096
80.0,1036.0,2031.0,1985.59,1,Discover,City-5,Groceries,33.0,Purchase at Merchant-2031
81.0,1059.0,2055.0,4978.25,0,MasterCard,City-45,Gas Station,19.0,Purchase at Merchant-2055
4384.44,1049.9,2050.69,4321.3716,1,MasterCard,City-29,Restaurant,37.57,Purchase at Merchant-2028
4384.44,1049.9,2050.69,4321.3716,1,Discover,City-37,Gas Station,37.57,Purchase at Merchant-2019
84.0,1021.0,2014.0,8539.61,1,Discover,City-48,Travel,46.0,Purchase at Merchant-2014
85.0,1048.0,2023.0,2783.92,0,American Express,City-3,Restaurant,28.0,Purchase at Merchant-2023
